Trip_ID,Trip_Distance,Type_of_Cab,Customer_Since_Months,Life_Style_Index,Confidence_Life_Style_Index,Destination_Type,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Gender,Surge_Pricing_Type
T0005689460,6.77,B,1,2.42769,A,A,3.905,0,40,46,60,Female,2
T0005689461,29.47,B,10,2.78245,B,A,3.45,0,38,56,78,Male,2
T0005689464,41.58,,10,,,E,3.50125,2,,56,77,Male,2
T0005689465,61.56,C,10,,,A,3.45375,0,,52,74,Male,3
T0005689467,54.95,C,10,3.03453,B,A,3.4025,4,51,49,102,Male,2
T0005689469,19.06,E,10,,,A,2.5975,1,72,63,91,Male,3
T0005689470,29.72,E,10,2.83958,C,B,2.975,1,83,50,75,Male,2
T0005689472,18.44,B,2,2.81871,B,A,3.5825,0,103,46,63,Male,2
T0005689473,106.8,C,3,,,A,3.14625,0,,58,92,Male,2
T0005689474,107.19,D,5,3.04467,B,A,2.44375,1,,58,83,Male,3
T0005689475,46.07,D,10,2.95887,C,B,2.49125,2,89,48,69,Female,2
T0005689477,90.93,,0,2.95327,C,C,2.935,1,,46,63,Male,2
T0005689479,39.73,B,10,2.8487,C,B,3.12875,2,71,47,76,Male,2
T0005689482,31.16,B,,2.6917,B,A,2.1475,0,,53,90,Female,1
T0005689484,83.53,C,0,2.80658,C,A,2.07625,0,,51,75,Male,2
T0005689485,14.18,,1,2.16167,A,A,3.1975,1,,46,57,Female,2
T0005689486,56.83,E,4,2.6615,B,A,1.39625,0,,47,80,Male,3
T0005689487,14.12,D,3,2.97795,B,G,4.93375,0,52,47,64,Male,1
T0005689491,13.94,B,,2.35974,B,B,1.7975,0,,50,64,Male,2
T0005689492,81.7,A,0,2.82307,B,D,2.7975,5,41,51,80,Male,3
T0005689493,72.54,C,0,3.06236,C,A,2.0825,0,,52,89,Male,1
T0005689496,25.6,C,0,2.57278,B,F,4.265,2,,45,66,Male,2
T0005689497,8.65,C,9,2.48367,C,A,2.45,1,,46,62,Male,3
T0005689498,18.85,D,0,2.61439,C,A,4.14625,0,65,44,58,Male,3
T0005689501,38.32,A,10,2.77751,C,A,3.605,2,,51,73,Male,3
T0005689502,16.78,B,1,2.70013,A,A,1.6125,3,,52,85,Male,1
T0005689503,65.02,C,10,2.9851,C,A,2.4525,1,,63,96,Male,2
T0005689504,18.47,A,9,2.77751,B,A,1.44,5,,55,85,Male,1
T0005689505,31.82,,10,2.70044,C,B,3.15125,1,,51,66,Male,1
T0005689506,9.1,D,10,2.70352,A,D,2.425,0,,45,61,Female,3
T0005689507,64.51,A,10,2.66894,B,A,1.0775,0,,51,71,Female,3
T0005689508,47.92,E,1,2.62154,B,A,4.225,2,,46,66,Male,3
T0005689509,18.34,,4,2.59621,A,B,3.15875,0,,53,72,Male,1
T0005689510,63.88,A,10,2.97894,B,B,3.405,0,102,53,79,Male,1
T0005689513,30.93,,6,2.65609,B,B,2.55625,0,70,51,83,Male,2
T0005689515,36.1,B,,2.70134,B,A,1.835,0,,59,95,Male,1
T0005689516,4.78,C,5,2.47188,B,C,2.18,3,81,51,87,Female,2
T0005689517,93.78,,4,,,A,3.33125,2,,62,98,Female,3
T0005689519,12.66,B,6,2.70811,B,A,3.12375,0,84,48,64,Male,2
T0005689520,75.85,A,7,,,B,1.94375,0,96,52,84,Female,1
T0005689521,78.25,,8,2.7719,B,A,1.08875,0,,48,76,Female,1
